age,Dept,location,education,recruitment_type,job_level,rating,onsite,awards,certifications,salary,satisfied,recognition_score,age_group,under_qualified_flag
35,3,0,0,0,5,2,0,0,0,86750,1,0,0,0
49,1,1,1,3,3,4,1,2,1,42419,0,3,1,0
45,4,0,1,1,2,2,0,9,1,29805,1,10,1,0
30,4,0,1,1,3,1,0,3,1,42419,1,4,0,0
40,1,0,0,2,2,2,0,3,1,29805,1,4,1,0
34,3,1,1,2,3,1,1,1,1,42419,1,2,0,0
45,4,0,0,2,2,3,1,0,0,29805,1,0,1,0
53,2,0,0,3,4,4,0,2,1,65715,0,3,1,0
36,4,1,0,1,2,1,0,3,1,29805,0,4,0,0
24,0,0,0,0,2,2,0,2,1,29805,1,3,2,0
40,0,1,0,3,1,4,1,7,0,24076,0,7,1,0
46,3,1,0,0,2,3,1,9,1,29805,0,10,1,0
24,1,1,0,0,1,4,1,0,1,24076,1,1,2,0
53,3,1,0,3,5,1,0,1,1,86750,0,2,1,0
33,3,0,0,0,1,3,1,6,0,24076,1,6,0,0
31,3,0,1,1,4,2,0,3,1,65715,0,4,0,0
34,3,0,1,0,1,3,0,7,1,24076,0,8,0,0
39,2,0,1,1,5,3,0,2,1,86750,0,3,0,0
37,2,0,1,1,4,5,1,5,0,65715,1,5,0,0
47,4,1,1,1,3,3,0,8,1,42419,0,9,1,0
53,0,0,0,2,3,3,1,0,1,42419,0,1,1,0
39,3,0,0,0,1,4,1,0,1,24076,1,1,0,0
48,4,0,0,3,1,2,0,7,0,24076,1,7,1,0
51,0,1,0,3,5,4,0,2,1,86750,0,3,1,0
48,1,1,0,0,5,4,1,4,1,86750,1,5,1,0
40,2,0,0,2,2,1,0,0,1,29805,0,1,1,0
54,0,1,0,2,5,4,1,4,0,86750,0,4,1,0
44,1,0,1,1,2,5,0,5,0,29805,1,5,1,0
28,0,0,1,0,4,5,1,7,1,65715,1,8,2,0
39,2,1,1,0,1,1,1,2,0,24076,1,2,0,0
45,2,1,1,3,4,2,1,2,0,65715,0,2,1,0
46,4,0,0,0,5,2,1,9,0,86750,1,9,1,0
40,3,0,0,2,4,4,0,8,1,65715,0,9,1,0
30,0,1,0,0,4,4,0,3,1,65715,1,4,0,0
31,0,0,1,3,4,4,1,3,0,65715,0,3,0,0
28,1,1,0,1,5,2,1,6,0,86750,1,6,2,0
27,2,0,0,3,4,3,0,1,0,65715,0,1,2,0
34,0,1,0,3,2,5,0,7,1,29805,1,8,0,0
47,2,0,1,1,5,3,0,5,1,86750,0,6,1,0
54,0,0,0,3,4,3,0,2,0,65715,1,2,1,0
51,4,1,1,3,5,2,0,8,0,86750,1,8,1,0
50,3,0,1,0,3,3,0,4,0,42419,0,4,1,0
33,0,0,1,0,2,1,1,7,0,29805,1,7,0,0
47,2,1,1,1,4,4,0,6,1,65715,0,7,1,0
23,4,0,0,0,3,1,0,7,0,42419,0,7,2,0
33,0,0,1,0,3,5,1,6,1,42419,1,7,0,0
41,1,0,1,3,5,4,0,2,0,86750,0,2,1,0
31,3,1,0,2,3,3,0,1,0,42419,1,1,0,0
49,0,1,0,0,2,5,0,6,0,29805,1,6,1,0
24,4,1,1,2,2,4,0,2,0,29805,0,2,2,0
34,1,0,0,0,1,3,0,2,0,24076,1,2,0,0
26,4,0,1,0,2,1,1,1,1,29805,0,2,2,0
26,4,0,1,1,3,4,0,3,0,42419,0,3,2,0
